"nome","produto","preco","cliente","estado","sexo","data","total","quantidade","valorunitario","valortotal","desconto","status"
"Hélio Liberato","Bicicleta Gometws Endorphine 7.3 - Shimano Alumínio Aro 29 - 24 Marchas","2966.0","Iracema Rodríguez","BA","F","2021-10-23 00:00:00","12167.0","1","2966.0","2966.0","593.2","Gold"
"Hélio Liberato","Bicicleta Altools Stroll Aro 26 Freio À Disco 21 Marchas","9201.0","Iracema Rodríguez","BA","F","2021-10-23 00:00:00","12167.0","1","9201.0","9201.0","1932.21","Gold"
"Daniel Pirajá","Bicicleta Gometws Endorphine 7.3 - Shimano Alumínio Aro 29 - 24 Marchas","2966.0","Hermígio Villaverde","MA","M","2021-04-23 00:00:00","9310.66","1","2966.0","2966.0","88.98","Silver"
"Daniel Pirajá","Bicicleta Gometws Endorphine 7.3 - Shimano Alumínio Aro 29 - 24 Marchas","2966.0","Cidália Miera","SE","F","2021-08-13 00:00:00","7312.8","1","2966.0","2966.0","326.26","Silver"
"Daniel Pirajá","Bicicleta Gometws Endorphine 7.3 - Shimano Alumínio Aro 29 - 24 Marchas","2966.0","Brenda Serralheiro","PA","F","2021-03-06 00:00:00","2609.08","1","2521.1","2521.1","0.0","Silver"
"Daniel Pirajá","Bicicleta Gometws Endorphine 7.3 - Shimano Alumínio Aro 29 - 24 Marchas","2966.0","Belmira Colaço","RJ","F","2021-05-02 00:00:00","3289.0","1","2966.0","2966.0","118.64","Silver"
"Daniel Pirajá","Bicicleta Gometws Endorphine 7.3 - Shimano Alumínio Aro 29 - 24 Marchas","2966.0","Adelino Gago","RJ","M","2021-09-11 00:00:00","5782.68","1","2521.1","2521.1","302.53","Silver"
"Daniel Pirajá","Bicicleta Gometws Endorphine 7.3 - Shimano Alumínio Aro 29 - 24 Marchas","2966.0","Diogo Simón","BA","M","2021-02-21 00:00:00","8500.97","1","2521.1","2521.1","0.0","Silver"
"Daniel Pirajá","Bicicleta Gometws Endorphine 7.3 - Shimano Alumínio Aro 29 - 24 Marchas","2966.0","Cosme Zambujal","BA","M","2021-07-03 00:00:00","2016.88","1","2016.88","2016.88","161.35","Silver"
"Daniel Pirajá","Bicicleta Gometws Endorphine 7.3 - Shimano Alumínio Aro 29 - 24 Marchas","2966.0","Gisela Candeias","SC","F","2021-01-21 00:00:00","2521.1","1","2521.1","2521.1","0.0","Silver"
"Daniel Pirajá","Bicicleta Gometws Endorphine 7.3 - Shimano Alumínio Aro 29 - 24 Marchas","2966.0","Isabel Meirelles","RO","F","2021-10-10 00:00:00","2905.9","1","2521.1","2521.1","327.74","Silver"
"Daniel Pirajá","Bicicleta Gometws Endorphine 7.3 - Shimano Alumínio Aro 29 - 24 Marchas","2966.0","Cândido Sousa do Prado","PR","M","2021-12-05 00:00:00","19527.8","1","2966.0","2966.0","563.54","Silver"
"Daniel Pirajá","Bicicleta Gometws Endorphine 7.3 - Shimano Alumínio Aro 29 - 24 Marchas","2966.0","Gertrudes Hidalgo","PA","F","2021-08-26 00:00:00","16108.03","1","2966.0","2966.0","355.92","Silver"
"Daniel Pirajá","Bicicleta Gts Advanced 1.0 Aro 29 Freio Disco Câmbio Traseiro Shimano 24 Marchas","4255.0","Antão Corte-Real","ES","M","2021-08-24 00:00:00","18312.68","1","2893.4","2893.4","289.34","Silver"
"Daniel Pirajá","Bicicleta Gts Advanced 1.0 Aro 29 Freio Disco Câmbio Traseiro Shimano 24 Marchas","4255.0","Cidália Miera","SE","F","2021-08-13 00:00:00","7312.8","1","4255.0","4255.0","425.5","Silver"
"Daniel Pirajá","Bicicleta Gts Advanced 1.0 Aro 29 Freio Disco Câmbio Traseiro Shimano 24 Marchas","4255.0","Joaquim Mieiro","TO","M","2021-06-09 00:00:00","19528.45","1","3616.75","3616.75","253.17","Silver"
"Daniel Pirajá","Bicicleta Gts Advanced 1.0 Aro 29 Freio Disco Câmbio Traseiro Shimano 24 Marchas","4255.0","Cláudio Lopes","BA","M","2021-09-09 00:00:00","13295.0","1","4255.0","4255.0","595.7","Silver"
"Daniel Pirajá","Bicicleta Gts Advanced 1.0 Aro 29 Freio Disco Câmbio Traseiro Shimano 24 Marchas","4255.0","Dinarte Marino","MS","F","2021-08-29 00:00:00","10973.53","1","3829.5","3829.5","536.13","Silver"
"Daniel Pirajá","Bicicleta Gts Advanced 1.0 Aro 29 Freio Disco Câmbio Traseiro Shimano 24 Marchas","4255.0","Gertrudes Hidalgo","PA","F","2021-08-26 00:00:00","16108.03","1","3616.75","3616.75","470.18","Silver"
"Daniel Pirajá","Bicicleta Gts Advanced 1.0 Aro 29 Freio Disco Câmbio Traseiro Shimano 24 Marchas","4255.0","Davide Fraga","SC","M","2021-10-18 00:00:00","4358.28","1","4255.0","4255.0","553.15","Silver"
"Daniel Pirajá","Bicicleta Gts Advanced 1.0 Aro 29 Freio Disco Câmbio Traseiro Shimano 24 Marchas","4255.0","Capitolina Valadares","GO","F","2021-09-13 00:00:00","19438.51","1","3616.75","3616.75","470.18","Silver"
"Daniel Pirajá","Luva De Ciclismo - Gometws Sports","188.0","Davide Alcántara","MA","M","2021-04-29 00:00:00","159.8","1","159.8","159.8","9.59","Silver"
"Daniel Pirajá","Luva De Ciclismo - Gometws Sports","188.0","Davide Alcántara","MA","M","2021-03-10 00:00:00","18072.9","1","169.2","169.2","1.69","Silver"
"Daniel Pirajá","Luva De Ciclismo - Gometws Sports","188.0","Isabel Meirelles","RO","F","2021-10-10 00:00:00","2905.9","1","159.8","159.8","25.57","Silver"
"Daniel Pirajá","Luva De Ciclismo - Gometws Sports","188.0","Deise Laureano","PI","F","2022-01-04 00:00:00","8241.6","1","159.8","159.8","49.54","Silver"
"Daniel Pirajá","Luva De Ciclismo - Gometws Sports","188.0","Hermígio Villaverde","MA","M","2021-02-12 00:00:00","306.58","1","188.0","188.0","1.88","Silver"
"Daniel Pirajá","Luva De Ciclismo - Gometws Sports","188.0","Cássia Guerra","MG","F","2021-11-29 00:00:00","251.8","1","159.8","159.8","44.74","Silver"
"Daniel Pirajá","Luva De Ciclismo - Gometws Sports","188.0","Belmira Colaço","RJ","F","2021-05-02 00:00:00","3289.0","1","188.0","188.0","3.76","Silver"
"Daniel Pirajá","Luva De Ciclismo - Gometws Sports","188.0","Adelino Gago","RJ","M","2021-09-11 00:00:00","5782.68","1","188.0","188.0","18.8","Silver"
"Daniel Pirajá","Luva De Ciclismo - Gometws Sports","188.0","Alexandra Tabares","MG","F","2021-06-03 00:00:00","7990.05","1","169.2","169.2","6.77","Silver"
"Daniel Pirajá","Luva De Ciclismo - Gometws Sports","188.0","Cláudio Lopes","BA","M","2021-09-09 00:00:00","13295.0","1","188.0","188.0","22.56","Silver"
"Daniel Pirajá","Luva De Ciclismo - Gometws Sports","188.0","Dinarte Marino","MS","F","2021-02-27 00:00:00","169.2","1","169.2","169.2","1.69","Silver"
"Daniel Pirajá","Luva De Ciclismo - Gometws Sports","188.0","Cândida Silvestre","MG","F","2021-06-17 00:00:00","496.4","1","159.8","159.8","7.99","Silver"
"Daniel Pirajá","Luva De Ciclismo - Gometws Sports","188.0","Gertrudes Hidalgo","PA","F","2021-08-26 00:00:00","16108.03","1","143.82","143.82","20.13","Silver"
"Daniel Pirajá","Luva De Ciclismo - Gometws Sports","188.0","Gertrudes Hidalgo","PA","F","2021-05-19 00:00:00","8514.01","1","135.36","135.36","4.06","Silver"
"Daniel Pirajá","Luva De Ciclismo - Gometws Sports","188.0","Feliciano Franca","PA","M","2022-01-03 00:00:00","169.2","1","169.2","169.2","52.45","Silver"
"Daniel Pirajá","Bicicleta Trinc Câmbios Shimano Aro 29 Freio A Disco 24v","7658.0","Belmira Colaço","RJ","F","2021-07-19 00:00:00","7793.0","1","7658.0","7658.0","765.8","Silver"
"Daniel Pirajá","Bicicleta Trinc Câmbios Shimano Aro 29 Freio A Disco 24v","7658.0","Antão Corte-Real","ES","M","2021-08-24 00:00:00","18312.68","2","7658.0","15316.0","1837.92","Silver"
"Daniel Pirajá","Bicicleta Trinc Câmbios Shimano Aro 29 Freio A Disco 24v","7658.0","Dinarte Tabalipa","RS","F","2022-01-02 00:00:00","13110.6","2","6509.3","13018.6","4816.88","Silver"
"Daniel Pirajá","Bicicleta Trinc Câmbios Shimano Aro 29 Freio A Disco 24v","7658.0","Gertrudes Hidalgo","PA","F","2021-08-26 00:00:00","16108.03","1","6126.4","6126.4","735.17","Silver"
"Daniel Pirajá","Bicicleta Trinc Câmbios Shimano Aro 29 Freio A Disco 24v","7658.0","Diogo Simón","BA","M","2021-02-21 00:00:00","8500.97","1","5858.37","5858.37","0.0","Silver"
"Daniel Pirajá","Bicicleta Trinc Câmbios Shimano Aro 29 Freio A Disco 24v","7658.0","Capitolina Valadares","GO","F","2021-09-13 00:00:00","19438.51","1","7658.0","7658.0","842.38","Silver"
"Daniel Pirajá","Bermuda Predactor 3Xu Pro","115.0","Davide Alcántara","MA","M","2021-03-10 00:00:00","18072.9","1","78.2","78.2","0.78","Silver"
"Daniel Pirajá","Bermuda Predactor 3Xu Pro","115.0","Isabel Meirelles","RO","F","2021-10-10 00:00:00","2905.9","1","103.5","103.5","19.67","Silver"
"Daniel Pirajá","Bermuda Predactor 3Xu Pro","115.0","Deise Laureano","PI","F","2022-01-04 00:00:00","8241.6","1","115.0","115.0","33.35","Silver"
"Daniel Pirajá","Bermuda Predactor 3Xu Pro","115.0","Brenda Serralheiro","PA","F","2021-03-06 00:00:00","2609.08","1","87.98","87.98","0.0","Silver"
"Daniel Pirajá","Bermuda Predactor 3Xu Pro","115.0","Dinarte Marino","MS","F","2021-08-29 00:00:00","10973.53","1","97.75","97.75","13.69","Silver"
"Daniel Pirajá","Bermuda Predactor 3Xu Pro","115.0","Cândida Silvestre","MG","F","2021-06-17 00:00:00","496.4","1","103.5","103.5","4.14","Silver"
"Daniel Pirajá","Bermuda Predactor 3Xu Pro","115.0","Dinarte Tabalipa","RS","F","2022-01-02 00:00:00","13110.6","1","92.0","92.0","34.96","Silver"
"Daniel Pirajá","Bermuda Predactor 3Xu Pro","115.0","Gertrudes Hidalgo","PA","F","2021-08-26 00:00:00","16108.03","1","78.2","78.2","10.95","Silver"
"Daniel Pirajá","Bermuda Predactor 3Xu Pro","115.0","Gertrudes Hidalgo","PA","F","2021-05-19 00:00:00","8514.01","1","97.75","97.75","5.86","Silver"
"Daniel Pirajá","Bermuda Predactor 3Xu Pro","115.0","Hermígio Villaverde","MA","M","2021-05-13 00:00:00","219.25","1","97.75","97.75","1.96","Silver"
"Daniel Pirajá","Bermuda Predactor 3Xu Pro","115.0","Hermígio Villaverde","MA","M","2021-04-23 00:00:00","9310.66","1","87.98","87.98","3.52","Silver"
"Daniel Pirajá","Bermuda Predactor 3Xu Pro","115.0","Hermígio Villaverde","MA","M","2021-08-10 00:00:00","230.0","2","115.0","230.0","23.0","Silver"
"Daniel Pirajá","Bermuda Predactor 3Xu Pro","115.0","Cássia Guerra","MG","F","2021-11-29 00:00:00","251.8","1","92.0","92.0","25.76","Silver"
"Daniel Pirajá","Bermuda Predactor 3Xu Pro","115.0","Galindo Bettencourt","RN","M","2021-09-19 00:00:00","97.75","1","97.75","97.75","19.55","Silver"
"Daniel Pirajá","Bicicleta Altools Stroll Aro 26 Freio À Disco 21 Marchas","9201.0","Hermígio Villaverde","MA","M","2021-04-23 00:00:00","9310.66","1","6256.68","6256.68","375.4","Silver"
"Daniel Pirajá","Bicicleta Altools Stroll Aro 26 Freio À Disco 21 Marchas","9201.0","Deise Farias","AM","F","2021-09-24 00:00:00","9201.0","1","9201.0","9201.0","1472.16","Silver"
"Daniel Pirajá","Bicicleta Altools Stroll Aro 26 Freio À Disco 21 Marchas","9201.0","Joaquim Mieiro","TO","M","2021-06-09 00:00:00","19528.45","2","7820.85","15641.7","469.25","Silver"
"Daniel Pirajá","Bicicleta Altools Stroll Aro 26 Freio À Disco 21 Marchas","9201.0","Alexandra Tabares","MG","F","2021-06-03 00:00:00","7990.05","1","7820.85","7820.85","312.83","Silver"
"Daniel Pirajá","Bicicleta Altools Stroll Aro 26 Freio À Disco 21 Marchas","9201.0","Cândido Sousa do Prado","PR","M","2021-12-05 00:00:00","19527.8","2","8280.9","16561.8","3312.36","Silver"
"Daniel Pirajá","Bicicleta Altools Stroll Aro 26 Freio À Disco 21 Marchas","9201.0","Gertrudes Hidalgo","PA","F","2021-05-19 00:00:00","8514.01","1","8280.9","8280.9","248.43","Silver"
"Daniel Pirajá","Bicicleta Altools Stroll Aro 26 Freio À Disco 21 Marchas","9201.0","Cosme Ipanema","PI","M","2021-03-14 00:00:00","7038.77","1","7038.77","7038.77","70.39","Silver"
"Daniel Pirajá","Bicicleta Aro 29 Mountain Bike Endorphine 6.3 - 24 Marchas - Shimano - Alumínio","8852.0","Davide Alcántara","MA","M","2021-03-10 00:00:00","18072.9","2","8852.0","17704.0","0.0","Silver"
"Daniel Pirajá","Bicicleta Aro 29 Mountain Bike Endorphine 6.3 - 24 Marchas - Shimano - Alumínio","8852.0","Deise Laureano","PI","F","2022-01-04 00:00:00","8241.6","1","7966.8","7966.8","1991.7","Silver"
"Daniel Pirajá","Bicicleta Aro 29 Mountain Bike Endorphine 6.3 - 24 Marchas - Shimano - Alumínio","8852.0","Capitolina Valadares","GO","F","2021-09-13 00:00:00","19438.51","1","6019.36","6019.36","662.13","Silver"
"Daniel Pirajá","Bicicleta Aro 29 Mountain Bike Endorphine 6.3 - 24 Marchas - Shimano - Alumínio","8852.0","Guadalupe Rodrigues","SC","F","2021-10-29 00:00:00","8852.0","1","8852.0","8852.0","1947.44","Silver"
"Daniel Pirajá","Bicicleta Aro 29 Mountain Bike Endorphine 6.3 - 24 Marchas - Shimano - Alumínio","8852.0","Cidália Miera","SE","F","2021-02-01 00:00:00","14284.7","2","7081.6","14163.2","0.0","Silver"
"Daniel Pirajá","Bicicleta Aro 29 Mountain Bike Endorphine 6.3 - 24 Marchas - Shimano - Alumínio","8852.0","Joaquim Mieiro","TO","M","2021-01-14 00:00:00","6154.36","1","6019.36","6019.36","60.19","Silver"
"Daniel Pirajá","Bicicleta Aro 29 Mountain Bike Endorphine 6.3 - 24 Marchas - Shimano - Alumínio","8852.0","Cláudio Lopes","BA","M","2021-09-09 00:00:00","13295.0","1","8852.0","8852.0","1150.76","Silver"
"Daniel Pirajá","Bicicleta Aro 29 Mountain Bike Endorphine 6.3 - 24 Marchas - Shimano - Alumínio","8852.0","Dinarte Marino","MS","F","2021-08-29 00:00:00","10973.53","1","6771.78","6771.78","744.9","Silver"
"Daniel Pirajá","Capacete Gometws Endorphine 2.0","155.0","Adelino Gago","RJ","M","2021-09-11 00:00:00","5782.68","1","118.58","118.58","11.86","Silver"
"Daniel Pirajá","Capacete Gometws Endorphine 2.0","155.0","Dinarte Marino","MS","F","2021-08-29 00:00:00","10973.53","1","139.5","139.5","13.95","Silver"
"Daniel Pirajá","Capacete Gometws Endorphine 2.0","155.0","Cândida Silvestre","MG","F","2021-06-17 00:00:00","496.4","1","111.6","111.6","5.58","Silver"
"Daniel Pirajá","Capacete Gometws Endorphine 2.0","155.0","Gertrudes Hidalgo","PA","F","2021-08-26 00:00:00","16108.03","1","118.58","118.58","15.42","Silver"
"Daniel Pirajá","Capacete Gometws Endorphine 2.0","155.0","António Lousado","RS","M","2021-11-01 00:00:00","210.8","2","105.4","210.8","35.84","Silver"
"Daniel Pirajá","Capacete Gometws Endorphine 2.0","155.0","Hermígio Villaverde","MA","M","2021-02-12 00:00:00","306.58","1","118.58","118.58","0.0","Silver"
"Daniel Pirajá","Camiseta Predactor 3Xu Multiplied","135.0","Joaquim Mieiro","TO","M","2021-06-09 00:00:00","19528.45","2","135.0","270.0","8.1","Silver"
"Daniel Pirajá","Camiseta Predactor 3Xu Multiplied","135.0","Joaquim Mieiro","TO","M","2021-01-14 00:00:00","6154.36","1","135.0","135.0","1.35","Silver"
"Daniel Pirajá","Camiseta Predactor 3Xu Multiplied","135.0","Belmira Colaço","RJ","F","2021-05-02 00:00:00","3289.0","1","135.0","135.0","2.7","Silver"
"Daniel Pirajá","Camiseta Predactor 3Xu Multiplied","135.0","Belmira Colaço","RJ","F","2021-07-19 00:00:00","7793.0","1","135.0","135.0","9.45","Silver"
"Daniel Pirajá","Camiseta Predactor 3Xu Multiplied","135.0","Dinarte Marino","MS","F","2021-08-29 00:00:00","10973.53","1","135.0","135.0","18.9","Silver"
"Daniel Pirajá","Camiseta Predactor 3Xu Multiplied","135.0","Cândida Silvestre","MG","F","2021-06-17 00:00:00","496.4","1","121.5","121.5","3.65","Silver"
"Daniel Pirajá","Camiseta Predactor 3Xu Multiplied","135.0","Cândida Silvestre","MG","F","2021-03-19 00:00:00","91.8","1","91.8","91.8","1.84","Silver"
"Daniel Pirajá","Camiseta Predactor 3Xu Multiplied","135.0","Gertrudes Hidalgo","PA","F","2021-08-26 00:00:00","16108.03","1","103.28","103.28","10.33","Silver"
"Daniel Pirajá","Camiseta Predactor 3Xu Multiplied","135.0","Davide Fraga","SC","M","2021-10-18 00:00:00","4358.28","1","103.28","103.28","19.62","Silver"
"Daniel Pirajá","Camiseta Predactor 3Xu Multiplied","135.0","Antão Corte-Real","ES","M","2021-08-24 00:00:00","18312.68","1","103.28","103.28","15.49","Silver"
"Daniel Pirajá","Camiseta Predactor 3Xu Multiplied","135.0","Diogo Simón","BA","M","2021-02-21 00:00:00","8500.97","1","121.5","121.5","0.0","Silver"
